Problem Set Name,Time to Complete (ms),cMax,Total Columns,Total Iterations,Columns Generated,Improvements Made
LL1,404,11.0,104,4,102=>69=>104=>104,-9.0=>0.0=>0.0
LL2,216,13.0,101,4,102=>63=>101=>101,-10.0=>0.0=>0.0
LL3,309,12.0,103,4,102=>71=>103=>103,-11.0=>0.0=>0.0
LL4,307,21.0,113,4,102=>77=>113=>113,-12.0=>0.0=>0.0
LL5,179,11.0,88,4,102=>61=>88=>88,-7.0=>0.0=>0.0
LM1,280,16.0,77,4,102=>49=>77=>77,-11.0=>0.0=>0.0
LM2,241,14.0,91,4,102=>63=>91=>91,-11.0=>0.0=>0.0
LM3,290,17.0,88,4,102=>61=>88=>88,-15.0=>0.0=>0.0
LM4,371,25.0,85,5,102=>66=>64=>85=>85,-17.0=>1.0=>0.0=>0.0
LM5,238,24.0,78,4,102=>47=>78=>78,-14.0=>0.0=>0.0
LH1,320,27.0,73,4,102=>55=>73=>73,-18.0=>0.0=>0.0
LH2,292,22.0,69,5,102=>53=>46=>69=>69,-20.0=>1.0=>0.0=>0.0
LH3,568,25.0,112,6,102=>57=>91=>81=>112=>112,-18.0=>0.0=>2.0=>0.0=>0.0
LH4,749,27.0,112,7,102=>71=>77=>82=>82=>112=>112,-24.0=>1.0=>2.0=>1.0=>0.0=>0.0
LH5,6568,32.0,324,13,102=>102=>259=>189=>183=>227=>208=>212=>251=>266=>278=>324=>324,-110.0=>0.0=>69.0=>3.0=>0.0=>4.0=>1.0=>0.0=>1.0=>1.0=>0.0=>0.0
